model,classifier,nn_number,epochs,batch-size,learning-rate,optimizer,normalize-features,tense,voice,pronouns,named-entities,sentiment,pos-tags,dep-tags,sentences,domain,sentence-similarity,precision,recall,f1,accuracy
traditional,svm,-,-,-,-,-,-,+,-,+,-,-,-,-,-,+,-,0.6173012318029115,0.882,0.7262845849802372,0.6676
traditional,svm,-,-,-,-,-,-,+,-,+,-,-,-,-,-,-,-,0.6172181716208637,0.8804,0.725684141114408,0.6672
traditional,svm,-,-,-,-,-,-,+,-,-,+,+,+,-,-,+,-,0.7606344628695025,0.422,0.5428350913300746,0.6446
traditional,svm,-,-,-,-,-,-,+,-,-,+,+,+,-,-,-,-,0.732574679943101,0.412,0.5273937532002049,0.6308
traditional,svm,-,-,-,-,-,-,+,-,-,+,+,-,-,-,+,-,0.6509695290858726,0.658,0.6544658842251839,0.6526
traditional,svm,-,-,-,-,-,-,+,-,-,+,+,-,-,-,-,-,0.6488941548183255,0.6572,0.65302066772655,0.6508
traditional,svm,-,-,-,-,-,-,+,-,-,+,-,+,-,-,+,-,0.7315233785822021,0.388,0.5070569785676947,0.6228
traditional,svm,-,-,-,-,-,-,+,-,-,+,-,+,-,-,-,-,0.697503671071953,0.38,0.4919730709476955,0.6076
traditional,svm,-,-,-,-,-,-,+,-,-,+,-,-,-,-,+,-,0.6322453573438379,0.8988,0.7423191278493558,0.688
traditional,svm,-,-,-,-,-,-,+,-,-,+,-,-,-,-,-,-,0.6332772166105499,0.9028,0.7443931398416886,0.69
traditional,svm,-,-,-,-,-,-,+,-,-,-,+,+,-,-,+,-,0.7591660675772826,0.4224,0.5427910562837317,0.6442
traditional,svm,-,-,-,-,-,-,+,-,-,-,+,+,-,-,-,-,0.7324343506032647,0.4128,0.5280122793553338,0.631
traditional,svm,-,-,-,-,-,-,+,-,-,-,+,-,-,-,+,-,0.6314352574102964,0.6476,0.6394154818325434,0.6348
traditional,svm,-,-,-,-,-,-,+,-,-,-,+,-,-,-,-,-,0.6294992175273866,0.6436,0.6364715189873418,0.6324
traditional,svm,-,-,-,-,-,-,+,-,-,-,-,+,-,-,+,-,0.7338345864661654,0.3904,0.5096605744125327,0.6244
traditional,svm,-,-,-,-,-,-,+,-,-,-,-,+,-,-,-,-,0.697037037037037,0.3764,0.48883116883116884,0.6064
traditional,svm,-,-,-,-,-,-,+,-,-,-,-,-,-,-,+,-,0.6246830092983939,0.8868,0.733013721276244,0.677
traditional,svm,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,0.622853926259499,0.8852,0.7312076656203534,0.6746
traditional,svm,-,-,-,-,-,-,-,+,+,+,+,+,-,-,+,-,0.7570295602018745,0.42,0.5402624131721121,0.6426
traditional,svm,-,-,-,-,-,-,-,+,+,+,+,+,-,-,-,-,0.7320028510334996,0.4108,0.5262618498590828,0.6302
traditional,svm,-,-,-,-,-,-,-,+,+,+,+,-,-,-,+,-,0.6202105263157894,0.5892,0.6043076923076923,0.6142
traditional,svm,-,-,-,-,-,-,-,+,+,+,+,-,-,-,-,-,0.6135693215339233,0.5824,0.597578493741022,0.6078
traditional,svm,-,-,-,-,-,-,-,+,+,+,-,+,-,-,+,-,0.718773373223635,0.3844,0.5009121709669012,0.617
traditional,svm,-,-,-,-,-,-,-,+,+,+,-,+,-,-,-,-,0.6976573938506588,0.3812,0.49301603724780124,0.608
traditional,svm,-,-,-,-,-,-,-,+,+,+,-,-,-,-,+,-,0.6229244777718265,0.9304,0.7462303496952197,0.6836
traditional,svm,-,-,-,-,-,-,-,+,+,+,-,-,-,-,-,-,0.6210864329676211,0.9284,0.7442680776014109,0.681
traditional,svm,-,-,-,-,-,-,-,+,+,-,+,+,-,-,+,-,0.7588447653429603,0.4204,0.5410553410553411,0.6434
traditional,svm,-,-,-,-,-,-,-,+,+,-,+,+,-,-,-,-,0.7352313167259786,0.4132,0.5290653008962867,0.6322
traditional,svm,-,-,-,-,-,-,-,+,+,-,+,-,-,-,+,-,0.586918349429324,0.5348,0.559648388447049,0.5792
traditional,svm,-,-,-,-,-,-,-,+,+,-,+,-,-,-,-,-,0.5955594253373966,0.5472,0.5703564727954972,0.5878
traditional,svm,-,-,-,-,-,-,-,+,+,-,-,+,-,-,+,-,0.72110365398956,0.3868,0.5035147097110128,0.6186
traditional,svm,-,-,-,-,-,-,-,+,+,-,-,+,-,-,-,-,0.6969253294289898,0.3808,0.4924987066735644,0.6076
traditional,svm,-,-,-,-,-,-,-,+,+,-,-,-,-,-,+,-,0.6058139534883721,0.8336,0.7016835016835017,0.6456
traditional,svm,-,-,-,-,-,-,-,+,+,-,-,-,-,-,-,-,0.6082474226804123,0.8732,0.7170307111184102,0.6554
traditional,svm,-,-,-,-,-,-,-,+,-,+,+,+,-,-,+,-,0.7587188612099645,0.4264,0.5459667093469911,0.6454
traditional,svm,-,-,-,-,-,-,-,+,-,+,+,+,-,-,-,-,0.724841660802252,0.412,0.5253761795460342,0.6278
traditional,svm,-,-,-,-,-,-,-,+,-,+,+,-,-,-,+,-,0.6164327002477291,0.5972,0.6066639577407557,0.6128
traditional,svm,-,-,-,-,-,-,-,+,-,+,+,-,-,-,-,-,0.6211745244003308,0.6008,0.6108174054493696,0.6172
traditional,svm,-,-,-,-,-,-,-,+,-,+,-,+,-,-,+,-,0.7182890855457227,0.3896,0.5051867219917012,0.6184
traditional,svm,-,-,-,-,-,-,-,+,-,+,-,+,-,-,-,-,0.6924198250728864,0.38,0.49070247933884287,0.6056
traditional,svm,-,-,-,-,-,-,-,+,-,+,-,-,-,-,+,-,0.6257135091057352,0.9208,0.7451043858229487,0.685
traditional,svm,-,-,-,-,-,-,-,+,-,+,-,-,-,-,-,-,0.6248982912937348,0.9216,0.7447874575723291,0.6842
traditional,svm,-,-,-,-,-,-,-,+,-,-,+,+,-,-,+,-,0.7562189054726368,0.4256,0.5446634246224725,0.6442
traditional,svm,-,-,-,-,-,-,-,+,-,-,+,+,-,-,-,-,0.7245762711864406,0.4104,0.5240040858018385,0.6272
traditional,svm,-,-,-,-,-,-,-,+,-,-,+,-,-,-,+,-,0.5506391347099312,0.448,0.49404499338332597,0.5412
traditional,svm,-,-,-,-,-,-,-,+,-,-,+,-,-,-,-,-,0.6057733735458853,0.5624,0.5832814768720184,0.5982
traditional,svm,-,-,-,-,-,-,-,+,-,-,-,+,-,-,+,-,0.7202072538860104,0.3892,0.5053232926512594,0.619
traditional,svm,-,-,-,-,-,-,-,+,-,-,-,+,-,-,-,-,0.6952727272727273,0.3824,0.4934193548387097,0.6074
traditional,svm,-,-,-,-,-,-,-,+,-,-,-,-,-,-,+,-,0.6119929453262787,0.8328,0.7055235513385293,0.6524
traditional,svm,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,0.611965334078837,0.8756,0.7204212604903736,0.6602
traditional,svm,-,-,-,-,-,-,-,-,+,+,+,+,-,-,+,-,0.7556037599421548,0.418,0.538243626062323,0.6414
traditional,svm,-,-,-,-,-,-,-,-,+,+,+,+,-,-,-,-,0.7309608540925266,0.4108,0.5259923175416134,0.6298
traditional,svm,-,-,-,-,-,-,-,-,+,+,+,-,-,-,+,-,0.6182276354472911,0.5888,0.6031550911698422,0.6126
traditional,svm,-,-,-,-,-,-,-,-,+,+,+,-,-,-,-,-,0.6018062397372742,0.5864,0.594003241491086,0.5992
traditional,svm,-,-,-,-,-,-,-,-,+,+,-,+,-,-,+,-,0.7166293810589113,0.3844,0.5003905233012237,0.6162
traditional,svm,-,-,-,-,-,-,-,-,+,+,-,+,-,-,-,-,0.6937590711175616,0.3824,0.4930376482723053,0.6068
traditional,svm,-,-,-,-,-,-,-,-,+,+,-,-,-,-,+,-,0.6207616066770997,0.952,0.751499842121882,0.6852
traditional,svm,-,-,-,-,-,-,-,-,+,+,-,-,-,-,-,-,0.6220245880198797,0.9512,0.7521746006642417,0.6866
traditional,svm,-,-,-,-,-,-,-,-,+,-,+,+,-,-,+,-,0.7575976845151954,0.4188,0.5394126738794436,0.6424
traditional,svm,-,-,-,-,-,-,-,-,+,-,+,+,-,-,-,-,0.7320916905444126,0.4088,0.5246406570841888,0.6296
traditional,svm,-,-,-,-,-,-,-,-,+,-,+,-,-,-,+,-,0.5790849673202615,0.5316,0.5543274244004172,0.5726
traditional,svm,-,-,-,-,-,-,-,-,+,-,+,-,-,-,-,-,0.5996600084997875,0.5644,0.5814959818668864,0.5938
traditional,svm,-,-,-,-,-,-,-,-,+,-,-,+,-,-,+,-,0.7184466019417476,0.3848,0.5011721802552749,0.617
traditional,svm,-,-,-,-,-,-,-,-,+,-,-,+,-,-,-,-,0.6934201012292118,0.3836,0.49394797836724186,0.607
traditional,svm,-,-,-,-,-,-,-,-,+,-,-,-,-,-,+,-,0.6018545349174153,0.8308,0.698033943874979,0.6406
traditional,svm,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,0.6026165167620605,0.8844,0.7168098557302642,0.6506
traditional,svm,-,-,-,-,-,-,-,-,-,+,+,+,-,-,+,-,0.7566787003610108,0.4192,0.5395109395109394,0.6422
traditional,svm,-,-,-,-,-,-,-,-,-,+,+,+,-,-,-,-,0.7263610315186246,0.4056,0.5205338809034908,0.6264
traditional,svm,-,-,-,-,-,-,-,-,-,+,+,-,-,-,+,-,0.6113469702817445,0.6336,0.6222746022392458,0.6154
traditional,svm,-,-,-,-,-,-,-,-,-,+,+,-,-,-,-,-,0.6116578349735049,0.6464,0.6285492026448851,0.618
traditional,svm,-,-,-,-,-,-,-,-,-,+,-,+,-,-,+,-,0.7248520710059172,0.392,0.5088265835929386,0.6216
